id,source_rank,repository_owner,repository_name,issues_count,star_count,wiki,tag_name,class,score
18930,7,guerrero,normalize.scss,0,2,FALSE,null-coalescing-operator,ND,9
99875,1,Octopusnet,laravel4-uploader-class,0,0,TRUE,hadoop2,ND,1.888596145
3825,8,mattlo,angular-query-string,0,2,TRUE,rule-engine,Package,10.88859615
21808,6,dankins,route-elements,0,0,TRUE,texturing,ND,6.888596145
6946,5,jurgelenas,bower.darthvader,0,1,TRUE,dijkstra,Package,6.888596145
32236,6,AoiKuiyuyou,AoikWinWhich,0,0,TRUE,variable-declaration,ND,6.888596145
2659,8,redapesolutions,angular-django-csrf,1,4,TRUE,qmake,Language,12.78859615
3125,7,gdi2290,angular-indexedDB,0,1,TRUE,freebase,Package,8.888596145
26930,7,Skullmonkey,LGS-LUA,0,3,TRUE,mql,Package,10.88859615
18869,1,lawrencegagein,nodejs-bower-law,0,0,TRUE,nfc,Package,1.888596145
7003,6,Absike,bowersiko,0,0,TRUE,objective-c,Language,6.888596145
8754,6,jeffreypierce,d3-donut-chart,0,1,TRUE,wav,Package,7.888596145
9562,5,jedmao,dt-chalk,0,0,TRUE,date-format,Package,5.888596145
19617,6,fahad19,parse-sdk-js,0,0,TRUE,jcr,Package,6.888596145
20164,6,dev-priya,polymer-code-highlighter,0,0,TRUE,webrat,Package,6.888596145
4977,6,lsvx,ascii-img,0,0,TRUE,urlrequest,Package,6.888596145
2529,7,joe-re,angular-comparison-validate,0,0,TRUE,pygame,Package,7.888596145
2974,2,darthwade,angular-globalize,0,0,TRUE,prettify,Package,2.888596145
1879,8,matiwinnetou,adplayer,0,0,TRUE,branch,Feature,8.888596145
87727,2,kamkejj,drupal-views,0,0,TRUE,grails-2.2,ND,2.888596145
18315,7,danethurber,ng-eats,0,0,TRUE,evaluate,Package,7.888596145
2150,6,OlenDavis,angoolar-jquery,0,0,TRUE,cil,Package,6.888596145
8756,6,curran,d3ExampleData,0,0,TRUE,member,Package,6.888596145
49036,2,lopezdonaque,common-ant-buildlibs_phplint,0,0,TRUE,todo,Package,2.888596145
23139,7,jjt,bower-solarized,0,1,TRUE,calayer,ND,8.888596145
73454,6,lmaurits,PyWALS,0,0,TRUE,ko.observablearray,ND,6.888596145
89171,5,prymitive,yaml-config-loader,0,0,TRUE,android-maven-plugin,Feature,5.888596145
62487,3,eve-seat,seat,0,79,TRUE,ssrs-tablix,ND,82.88859615
3641,2,knivets,angular-options-disabled,2,3,TRUE,social-media,Package,5.688596145
4570,9,sammychl,angular-xml2json,0,8,TRUE,shuffle,Package,17.88859615
57,2,etsushisa,Flat-Theme-Xcode,1,5,TRUE,air,Package,7.788596145
4317,8,webpolis,angular-treecursive,1,2,TRUE,runtime,Package,10.78859615
4538,12,paulocaldeira17,angular-websql,11,78,TRUE,roles,Package,89.78859615
9158,8,guilhermefarias,device-orientation,0,2,TRUE,adorner,Package,10.88859615
29283,5,ianswilliams,BigForDart,0,0,TRUE,smack,Package,5.888596145
3727,8,rebelliard,angular-picture,2,19,TRUE,exe,Package,27.68859615
3169,9,luisfarzati,angulartics,0,31,FALSE,quicktime,ND,40
6383,9,ahmedelgabri,blank,3,9,TRUE,sandbox,Package,18.58859615
2754,8,minsh,angular-errors-directive,0,7,TRUE,casting,Feature,15.88859615
38824,6,alphacomm,baker,0,2,TRUE,antlr3,Package,8.888596145
115228,6,WeCodePixels,premailer-bundle,0,1,TRUE,serenity-bdd,ND,7.888596145
20194,7,kristenmills,polymer-rss,2,6,TRUE,cucumber,Language,13.68859615
17976,2,eileenyuling,EiRepository,0,0,TRUE,email-headers,ND,2.888596145
102278,10,mvriel,template.xml,0,0,TRUE,bower-install,Package,10.88859615
35,3,fidgetfu,xcode-themes,2,145,TRUE,sockets,Feature,148.6885961
24053,12,alexgorbatchev,syntaxhighlighter,24,307,FALSE,multi-select,Package,316.6
49851,14,contao-archive,contao,0,35,FALSE,oracle-aq,ND,49
46816,2,studiofact,doctrine-connect,0,1,TRUE,lame,Package,3.888596145
4920,1,Blrrt,armory-simple-space,0,0,TRUE,uninstall,Package,1.888596145
3816,5,bluetomlee,angular-qqface,0,11,TRUE,eiffel,Language,16.88859615
52569,5,rastellid,testing,0,0,TRUE,rjava,Package,5.888596145
34099,3,sashahart,cachevalue,0,1,TRUE,git-clone,Package,4.888596145
75793,5,levinalex,asciify,1,7,TRUE,js-amd,ND,12.78859615
11426,1,coolaj86,futures,1,0,TRUE,autofilter,Package,1.788596145
86840,8,tnm,vulcan,0,14,FALSE,mongoexport,ND,22
34530,6,rainwoodman,chealpy,0,1,TRUE,cimg,Package,7.888596145
602,10,D-Programming-Deimos,ZeroMQ,0,28,TRUE,settings,Feature,38.88859615
13420,8,eagafonov,jabberd2,0,6,TRUE,repeat,Package,14.88859615
61859,10,svvitale,nxppy,3,72,FALSE,threshold,Package,81.7
75908,10,commx,python-rrdtool,2,30,FALSE,fosuserbundle,ND,39.8
11818,9,embedthis,goahead,11,179,TRUE,flash-media-server,Feature,187.7885961
70660,14,pyca,pynacl,26,359,FALSE,translate3d,Package,370.4
30972,19,alexcrichton,flate2-rs,24,93,TRUE,pointfree,Package,110.4885961
261,8,anton-dutov,db,1,10,TRUE,ftp,Package,18.78859615
426,6,lionello,jpeg-turbo,0,2,TRUE,processing,Feature,8.888596145
527,6,craig-dillabaugh,shplib_d,2,1,TRUE,cmdlets,ND,7.688596145
469,6,TiberiuGal,memcached4d,0,3,TRUE,checkbox,Feature,9.888596145
600,7,carlor,yamkeys,1,6,TRUE,vmware,Package,13.78859615
517,6,csauls,sass-vibe,0,6,TRUE,treeview,Package,12.88859615
